lambda (nm), TOA Flux (W/m2/nm)
4332.5,0.00621069
4337.5,0.006168607
4342.5,0.006125734
4347.5,0.00608599
4352.5,0.006044123
4357.5,0.006006503
4362.5,0.005970499
4367.5,0.005933083
4372.5,0.005899363
4377.5,0.00588628
4382.5,0.005862241
4387.5,0.005820225
4392.5,0.005785342
4397.5,0.00574884
4402.5,0.005716789
4407.5,0.005684473
4412.5,0.005650516
4417.5,0.00561892
4422.5,0.005587501
4427.5,0.005558219
4432.5,0.005542069
4437.5,0.005533301
4442.5,0.005507148
4447.5,0.005477928
4452.5,0.005449088
4457.5,0.005419172
4462.5,0.005394411
4467.5,0.005368464
4472.5,0.005341324
4477.5,0.005318658
4482.5,0.005290167
4487.5,0.005263887
4492.5,0.005249101
4497.5,0.0052365
4502.5,0.00520657
4507.5,0.00518163
4512.5,0.005157038
4517.5,0.005131152
4522.5,0.005108173
4527.5,0.005078931
4532.5,0.005059206
4537.5,0.005038524
4542.5,0.005013842
4547.5,0.004988778
4552.5,0.004979728
4557.5,0.004965422
4562.5,0.004938744
4567.5,0.004915395
4572.5,0.004892488
4577.5,0.004872266
4582.5,0.004851989
4587.5,0.004828762
4592.5,0.004807158
4597.5,0.004789425
4602.5,0.00476813
4607.5,0.004749754
4612.5,0.004736445
4617.5,0.004726945
4622.5,0.004709111
4627.5,0.004682225
4632.5,0.004658916
4637.5,0.004640658
4642.5,0.004622476
4647.5,0.004605195
4652.5,0.004588189
4657.5,0.004569419
4662.5,0.004551281
4667.5,0.004535135
4672.5,0.004517864
4677.5,0.004506835
4682.5,0.004502152
4687.5,0.004489485
4692.5,0.004469878
4697.5,0.004455291
4702.5,0.004441259
4707.5,0.004424284
4712.5,0.0044084
4717.5,0.00439192
4722.5,0.004374573
4727.5,0.004357767
4732.5,0.004341497
4737.5,0.004325657
4742.5,0.004310257
4747.5,0.004296537
4752.5,0.004276871
4757.5,0.004258549
4762.5,0.004242521
4767.5,0.004224494
4772.5,0.004207979
4777.5,0.004189083
4782.5,0.004172505
4787.5,0.004155616
4792.5,0.004140236
4797.5,0.00412408
4802.5,0.004109622
4807.5,0.004096909
4812.5,0.004085333
4817.5,0.004069958
4822.5,0.004055862
4827.5,0.00404053
4832.5,0.004027652
4837.5,0.004012195
4842.5,0.003998436
4847.5,0.003979434
4852.5,0.003964352
4857.5,0.003949085
4862.5,0.003933817
4867.5,0.003917006
4872.5,0.003902037
4877.5,0.003887589
4882.5,0.003872054
4887.5,0.003857596
4892.5,0.003840413
4897.5,0.003826409
4902.5,0.00381132
4907.5,0.00379946
4912.5,0.003783596
4917.5,0.003767677
4922.5,0.003753855
4927.5,0.003739062
4932.5,0.003722581
4937.5,0.003708905
4942.5,0.003693976
4947.5,0.003681609
4952.5,0.003668015
4957.5,0.003655184
4962.5,0.003640011
4967.5,0.003626898
4972.5,0.003611762
4977.5,0.00359978
4982.5,0.003585094
4987.5,0.003569791
4992.5,0.0035586
4997.5,0.00354308
5005,0.003523144
5015,0.003497992
5025,0.003473527
5035,0.00344946
5045,0.003425191
5055,0.003399862
5065,0.003374473
5075,0.003346731
5085,0.00331992
5095,0.003293408
5105,0.003266115
5115,0.003242795
5125,0.003220318
5135,0.003197951
5145,0.003177561
5155,0.003155858
5165,0.003135527
5175,0.003113203
5185,0.003090715
5195,0.003068318
5205,0.003044541
5215,0.003020625
5225,0.002999673
5235,0.00297799
5245,0.002957316
5255,0.002937123
5265,0.002916449
5275,0.002896235
5285,0.002875571
5295,0.002855173
5305,0.002835522
5315,0.002815933
5325,0.00279547
5335,0.002776134
5345,0.002756605
5355,0.002737288
5365,0.002719254
5375,0.002699759
5385,0.002680697
5395,0.002662077
5405,0.002643278
5415,0.002625567
5425,0.002607241
5435,0.002588187
5445,0.002569754
5455,0.002552687
5465,0.002535686
5475,0.002518155
5485,0.002501871
5495,0.002484904
5505,0.002469096
5515,0.002453085
5525,0.00243665
5535,0.002420952
5545,0.002404823
5555,0.002388508
5565,0.002371138
5575,0.002356267
5585,0.002340865
5595,0.002325177
5605,0.002309275
5615,0.002293742
5625,0.0022791
5635,0.002265011
5645,0.002250593
5655,0.002235281
5665,0.002220914
5675,0.002205944
5685,0.002192235
5695,0.002177389
5705,0.002163363
5715,0.002149123
5725,0.002135928
5735,0.002121538
5745,0.002108528
5755,0.002094332
5765,0.002081648
5775,0.002067236
5785,0.002054411
5795,0.002040656
5805,0.00202796
5815,0.002014143
5825,0.002001767
5835,0.00198802
5845,0.001975459
5855,0.001961461
5865,0.001948146
5875,0.001933741
5885,0.001921725
5895,0.001908939
5905,0.001896859
5915,0.001883504
5925,0.001872002
5935,0.001860333
5945,0.001849765
5955,0.001839487
5965,0.001828746
5975,0.001816662
5985,0.001805094
5995,0.001794409
6005,0.001783829
6015,0.001772902
6025,0.001761451
6035,0.00175051
6045,0.00173903
6055,0.001727861
6065,0.001716598
6075,0.001706095
6085,0.001695002
6095,0.001684621
6105,0.001673993
6115,0.001663887
6125,0.001653545
6135,0.001643511
6145,0.001633904
6155,0.001624275
6165,0.001614786
6175,0.001604218
6185,0.0015941
6195,0.001583744
6205,0.001573914
6215,0.00156412
6225,0.001554409
6235,0.001544751
6245,0.00153506
6255,0.001525393
6265,0.001515685
6275,0.001506976
6285,0.0014981
6295,0.001489426
6305,0.001480451
6315,0.001471261
6325,0.001462448
6335,0.001453599
6345,0.001445023
6355,0.001436525
6365,0.001428254
6375,0.001419896
6385,0.001411279
6395,0.001402779
6405,0.001394234
6415,0.001386108
6425,0.001377429
6435,0.001368552
6445,0.001360241
6455,0.001352027
6465,0.001343947
6475,0.001335806
6485,0.001327859
6495,0.001320009
6505,0.001312183
6515,0.001304394
6525,0.001296798
6535,0.0012897
6545,0.001282615
6555,0.001275015
6565,0.00126757
6575,0.001260083
6585,0.001252643
6595,0.001245248
6605,0.001237984
6615,0.0012308
6625,0.001223589
6635,0.001216442
6645,0.001209229
6655,0.001202086
6665,0.001195087
6675,0.001188016
6685,0.001181103
6695,0.001174252
6705,0.001167253
6715,0.001160229
6725,0.001153283
6735,0.001146554
6745,0.001139892
6755,0.001133328
6765,0.001126904
6775,0.001120459
6785,0.001114091
6795,0.001107764
6805,0.00110144
6815,0.00109526
6825,0.001089152
6835,0.001083168
6845,0.001077063
6855,0.001070961
6865,0.001064925
6875,0.001058875
6885,0.001052762
6895,0.001046781
6905,0.001040884
6915,0.001035022
6925,0.00102919
6935,0.001023426
6945,0.001017722
6955,0.001011919
6965,0.001006016
6975,0.001000366
6985,0.0009947903
6995,0.000989265
7005,0.0009838269
7015,0.0009783935
7025,0.0009729583
7035,0.0009675344
7045,0.0009621676
7055,0.0009568577
7065,0.0009515334
7075,0.0009463207
7085,0.0009413794
7095,0.0009363486
7105,0.0009312058
7115,0.0009260817
7125,0.0009210355
7135,0.0009160161
7145,0.0009109967
7155,0.0009059648
7165,0.0009010163
7175,0.0008961103
7185,0.0008912144
7195,0.0008863581
7205,0.0008815182
7215,0.0008767245
7225,0.000871963
7235,0.0008672414
7245,0.0008625759
7255,0.0008579505
7265,0.0008533334
7275,0.0008486617
7285,0.0008441291
7295,0.0008396367
7305,0.0008351365
7315,0.0008306891
7325,0.000826315
7335,0.0008219674
7345,0.0008175885
7355,0.000813205
7365,0.0008088649
7375,0.0008045037
7385,0.0008000378
7395,0.0007953435
7405,0.000791015
7415,0.0007869137
7425,0.0007827284
7435,0.0007783373
7445,0.0007740578
7455,0.0007699704
7465,0.0007659173
7475,0.0007618713
7485,0.0007578832
7495,0.0007539749
7505,0.0007500628
7515,0.0007462293
7525,0.0007425763
7535,0.0007391837
7545,0.0007355434
7555,0.0007317478
7565,0.0007279738
7575,0.0007244672
7585,0.0007209423
7595,0.0007172756
7605,0.0007136039
7615,0.0007099684
7625,0.0007063096
7635,0.0007026254
7645,0.0006990159
7655,0.0006954655
7665,0.0006919075
7675,0.0006883774
7685,0.0006848638
7695,0.0006813715
7705,0.000677938
7715,0.0006745178
7725,0.0006710875
7735,0.000667693
7745,0.0006643127
7755,0.0006609541
7765,0.0006576301
7775,0.0006543783
7785,0.0006511399
7795,0.0006478797
7805,0.0006446383
7815,0.0006414186
7825,0.0006382061
7835,0.0006350231
7845,0.0006318634
7855,0.0006287133
7865,0.0006255732
7875,0.0006224635
7885,0.0006193733
7895,0.0006163023
7905,0.0006132497
7915,0.0006102063
7925,0.0006071823
7935,0.0006041633
7945,0.0006011602
7955,0.0005981684
7965,0.000595196
7975,0.0005922643
7985,0.0005893317
7995,0.0005863807
8005,0.0005834901
8015,0.0005806397
8025,0.0005778088
8035,0.0005750004
8045,0.0005722067
8055,0.0005694106
8065,0.0005665937
8075,0.0005637842
8085,0.0005610205
8095,0.0005583019
8105,0.0005555846
8115,0.0005528749
8125,0.0005502119
8135,0.0005475614
8145,0.0005449371
8155,0.0005423562
8165,0.0005397713
8175,0.0005371784
8185,0.0005346123
8195,0.0005320481
8205,0.0005294986
8215,0.0005269664
8225,0.0005244716
8235,0.0005220191
8245,0.0005195774
8255,0.0005170963
8265,0.0005146135
8275,0.0005121952
8285,0.0005097994
8295,0.0005073738
8305,0.000504955
8315,0.0005025591
8325,0.0005001922
8335,0.0004978421
8345,0.0004955004
8355,0.0004931683
8365,0.0004908542
8375,0.0004885439
8385,0.000486249
8395,0.0004839771
8405,0.0004817151
8415,0.0004794677
8425,0.0004772552
8435,0.0004750724
8445,0.0004728835
8455,0.0004706893
8465,0.000468519
8475,0.0004663724
8485,0.0004642275
8495,0.0004620916
8505,0.000459961
8515,0.000457837
8525,0.0004557252
8535,0.000453624
8545,0.0004515302
8555,0.0004494581
8565,0.0004473975
8575,0.0004453441
8585,0.0004433104
8595,0.0004412842
8605,0.0004392682
8615,0.0004372643
8625,0.0004352789
8635,0.0004333075
8645,0.0004313394
8655,0.0004293718
8665,0.000427406
8675,0.0004254508
8685,0.0004235214
8695,0.0004216112
8705,0.0004197118
8715,0.0004178038
8725,0.0004159114
8735,0.0004140506
8745,0.0004121997
8755,0.0004103542
8765,0.0004085136
8775,0.0004066542
8785,0.0004047858
8795,0.0004029464
8805,0.0004011396
8815,0.000399349
8825,0.0003975674
8835,0.0003957949
8845,0.0003940338
8855,0.0003922929
8865,0.0003905608
8875,0.0003888201
8885,0.0003870807
8895,0.0003853549
8905,0.0003836609
8915,0.0003819914
8925,0.0003803124
8935,0.0003786203
8945,0.0003769392
8955,0.0003752831
8965,0.0003736525
8975,0.000372059
8985,0.0003704645
8995,0.0003688461
9005,0.0003672334
9015,0.0003656284
9025,0.0003640247
9035,0.0003624279
9045,0.0003608452
9055,0.0003592814
9065,0.0003577264
9075,0.0003561843
9085,0.0003546568
9095,0.0003531388
9105,0.0003516214
9115,0.0003501048
9125,0.0003485958
9135,0.0003471045
9145,0.0003456257
9155,0.0003441504
9165,0.000342672
9175,0.0003411986
9185,0.000339741
9195,0.0003383072
9205,0.0003368817
9215,0.0003354508
9225,0.0003340279
9235,0.000332617
9245,0.0003312155
9255,0.000329822
9265,0.0003284324
9275,0.0003270498
9285,0.0003256733
9295,0.0003242993
9305,0.000322931
9315,0.0003215689
9325,0.0003202134
9335,0.0003188644
9345,0.0003175217
9355,0.0003161854
9365,0.0003148542
9375,0.0003135273
9385,0.0003122103
9395,0.0003109026
9405,0.0003096002
9415,0.0003082991
9425,0.0003070069
9435,0.0003057255
9445,0.0003044506
9455,0.0003031835
9465,0.0003019255
9475,0.0003006707
9485,0.0002994196
9495,0.0002981778
9505,0.0002969433
9515,0.0002957154
9525,0.0002944968
9535,0.0002932844
9545,0.0002920774
9555,0.0002908759
9565,0.00028968
9575,0.0002884924
9585,0.000287313
9595,0.0002861395
9605,0.0002849679
9615,0.0002837968
9625,0.0002826274
9635,0.0002814707
9645,0.000280327
9655,0.000279188
9665,0.0002780485
9675,0.000276907
9685,0.000275772
9695,0.0002746493
9705,0.0002735341
9715,0.0002724269
9725,0.0002713264
9735,0.0002702312
9745,0.0002691403
9755,0.0002680512
9765,0.0002669693
9775,0.0002658932
9785,0.000264822
9795,0.0002637558
9805,0.0002626944
9815,0.0002616379
9825,0.0002605872
9835,0.0002595443
9845,0.0002585089
9855,0.0002574853
9865,0.000256468
9875,0.0002554513
9885,0.0002544363
9895,0.0002534272
9905,0.0002524286
9915,0.0002514411
9925,0.0002504587
9935,0.0002494763
9945,0.0002484966
9955,0.0002475196
9965,0.0002465467
9975,0.0002455784
9985,0.0002446142
9995,0.0002436581
10025,0.000240819
10075,0.000236178
10125,0.0002316476
10175,0.0002272058
10225,0.0002228632
10275,0.0002186154
10325,0.000214465
10375,0.0002104049
10425,0.000206442
10475,0.0002025771
10525,0.0001988074
10575,0.0001951345
10625,0.000191541
10675,0.0001880273
10725,0.0001845874
10775,0.0001812263
10825,0.0001779416
10875,0.0001747235
10925,0.0001715913
10975,0.0001685391
11025,0.0001655445
11075,0.0001626104
11125,0.0001597392
11175,0.000156922
11225,0.0001541719
11275,0.0001514793
11325,0.0001488548
11375,0.000146291
11425,0.000143782
11475,0.0001413369
11525,0.0001389348
11575,0.0001365769
11625,0.0001342704
11675,0.0001320046
11725,0.0001297898
11775,0.0001276238
11825,0.0001255009
11875,0.0001234327
11925,0.0001214063
11975,0.0001194186
12025,0.0001174751
12075,0.0001155639
12125,0.0001136836
12175,0.000111842
12225,0.0001100361
12275,0.0001082656
12325,0.0001065333
12375,0.0001048345
12425,0.0001031728
12475,0.0001015516
12525,9.996557e-05
12575,9.840733e-05
12625,9.68807e-05
12675,9.538386e-05
12725,9.390865e-05
12775,9.246122e-05
12825,9.103954e-05
12875,8.964576e-05
12925,8.827785e-05
12975,8.693585e-05
13025,8.561829e-05
13075,8.432518e-05
13125,8.305877e-05
13175,8.182023e-05
13225,8.060534e-05
13275,7.941366e-05
13325,7.824275e-05
13375,7.709333e-05
13425,7.596666e-05
13475,7.485594e-05
13525,7.376416e-05
13575,7.269302e-05
13625,7.164128e-05
13675,7.0608e-05
13725,6.959306e-05
13775,6.859615e-05
13825,6.761649e-05
13875,6.665265e-05
13925,6.570844e-05
13975,6.478492e-05
14025,6.387684e-05
14075,6.298513e-05
14125,6.210812e-05
14175,6.124671e-05
14225,6.03994e-05
14275,5.956725e-05
14325,5.874988e-05
14375,5.794458e-05
14425,5.715152e-05
14475,5.637107e-05
14525,5.560374e-05
14575,5.484854e-05
14625,5.410567e-05
14675,5.337627e-05
14725,5.265876e-05
14775,5.195399e-05
14825,5.126084e-05
14875,5.057845e-05
14925,4.991079e-05
14975,4.925406e-05
15025,4.860936e-05
15075,4.79742e-05
15125,4.73502e-05
15175,4.673776e-05
15225,4.613279e-05
15275,4.553893e-05
15325,4.495478e-05
15375,4.437924e-05
15425,4.381238e-05
15475,4.325461e-05
15525,4.27043e-05
15575,4.216336e-05
15625,4.162989e-05
15675,4.110606e-05
15725,4.058924e-05
15775,4.007977e-05
15825,3.957956e-05
15875,3.908589e-05
15925,3.859855e-05
15975,3.811992e-05
16025,3.764944e-05
16075,3.718553e-05
16125,3.67301e-05
16175,3.628168e-05
16225,3.584007e-05
16275,3.540496e-05
16325,3.497636e-05
16375,3.455441e-05
16425,3.413872e-05
16475,3.372921e-05
16525,3.332607e-05
16575,3.292923e-05
16625,3.253804e-05
16675,3.215245e-05
16725,3.177244e-05
16775,3.139815e-05
16825,3.102939e-05
16875,3.066596e-05
16925,3.03077e-05
16975,2.995484e-05
17025,2.960704e-05
17075,2.926423e-05
17125,2.892644e-05
17175,2.859349e-05
17225,2.826516e-05
17275,2.79417e-05
17325,2.762277e-05
17375,2.730822e-05
17425,2.699824e-05
17475,2.669278e-05
17525,2.639164e-05
17575,2.609472e-05
17625,2.580178e-05
17675,2.551307e-05
17725,2.522846e-05
17775,2.494767e-05
17825,2.467085e-05
17875,2.439776e-05
17925,2.412843e-05
17975,2.386286e-05
18025,2.360101e-05
18075,2.334275e-05
18125,2.308796e-05
18175,2.283669e-05
18225,2.258877e-05
18275,2.234418e-05
18325,2.210281e-05
18375,2.186467e-05
18425,2.162983e-05
18475,2.139817e-05
18525,2.116947e-05
18575,2.094361e-05
18625,2.07204e-05
18675,2.050038e-05
18725,2.028369e-05
18775,2.006986e-05
18825,1.985886e-05
18875,1.965055e-05
18925,1.944494e-05
18975,1.924203e-05
19025,1.904172e-05
19075,1.884401e-05
19125,1.864884e-05
19175,1.845627e-05
19225,1.826622e-05
19275,1.807857e-05
19325,1.789319e-05
19375,1.771026e-05
19425,1.752965e-05
19475,1.735146e-05
19525,1.717603e-05
19575,1.700251e-05
19625,1.683064e-05
19675,1.666082e-05
19725,1.649306e-05
19775,1.632755e-05
19825,1.616411e-05
19875,1.600276e-05
19925,1.584334e-05
19975,1.568596e-05
20025,1.553059e-05
20075,1.537705e-05
20125,1.522531e-05
20175,1.507542e-05
20225,1.492743e-05
20275,1.478132e-05
20325,1.463707e-05
20375,1.449454e-05
20425,1.435362e-05
20475,1.421439e-05
20525,1.40769e-05
20575,1.394117e-05
20625,1.380724e-05
20675,1.367495e-05
20725,1.354433e-05
20775,1.341526e-05
20825,1.328765e-05
20875,1.316153e-05
20925,1.303687e-05
20975,1.291366e-05
21025,1.279188e-05
21075,1.267154e-05
21125,1.255272e-05
21175,1.243531e-05
21225,1.231925e-05
21275,1.220451e-05
21325,1.209109e-05
21375,1.197895e-05
21425,1.186808e-05
21475,1.175854e-05
21525,1.165036e-05
21575,1.154344e-05
21625,1.143773e-05
21675,1.133318e-05
21725,1.122974e-05
21775,1.112748e-05
21825,1.102639e-05
21875,1.092643e-05
21925,1.082765e-05
21975,1.073005e-05
22025,1.063354e-05
22075,1.053811e-05
22125,1.044379e-05
22175,1.03505e-05
22225,1.025819e-05
22275,1.016687e-05
22325,1.007656e-05
22375,9.987296e-06
22425,9.899008e-06
22475,9.81169e-06
22525,9.725374e-06
22575,9.639996e-06
22625,9.555546e-06
22675,9.472048e-06
22725,9.3894e-06
22775,9.307631e-06
22825,9.226728e-06
22875,9.146698e-06
22925,9.067575e-06
22975,8.989359e-06
23025,8.911989e-06
23075,8.835433e-06
23125,8.759684e-06
23175,8.68473e-06
23225,8.610559e-06
23275,8.537165e-06
23325,8.464535e-06
23375,8.392663e-06
23425,8.321543e-06
23475,8.25118e-06
23525,8.181641e-06
23575,8.112842e-06
23625,8.044754e-06
23675,7.977367e-06
23725,7.910706e-06
23775,7.844747e-06
23825,7.779464e-06
23875,7.714845e-06
23925,7.650887e-06
23975,7.587579e-06
24025,7.524872e-06
24075,7.462831e-06
24125,7.401469e-06
24175,7.340739e-06
24225,7.280636e-06
24275,7.221181e-06
24325,7.162324e-06
24375,7.10406e-06
24425,7.046383e-06
24475,6.989272e-06
24525,6.932717e-06
24575,6.876737e-06
24625,6.821351e-06
24675,6.766487e-06
24725,6.712159e-06
24775,6.658373e-06
24825,6.60514e-06
24875,6.55244e-06
24925,6.500301e-06
24975,6.448649e-06
25025,6.397499e-06
25075,6.346873e-06
25125,6.29678e-06
25175,6.247179e-06
25225,6.198034e-06
25275,6.149352e-06
25325,6.101158e-06
25375,6.05344e-06
25425,6.006227e-06
25475,5.959473e-06
25525,5.913141e-06
25575,5.867265e-06
25625,5.821838e-06
25675,5.776849e-06
25725,5.732256e-06
25775,5.688091e-06
25825,5.644359e-06
25875,5.601076e-06
25925,5.558183e-06
25975,5.515699e-06
26025,5.473632e-06
26075,5.431991e-06
26125,5.39072e-06
26175,5.349846e-06
26225,5.309368e-06
26275,5.269287e-06
26325,5.22958e-06
26375,5.190286e-06
26425,5.151347e-06
26475,5.112725e-06
26525,5.074462e-06
26575,5.036571e-06
26625,4.999047e-06
26675,4.961852e-06
26725,4.925018e-06
26775,4.888512e-06
26825,4.852274e-06
26875,4.816359e-06
26925,4.78085e-06
26975,4.745645e-06
27025,4.710758e-06
27075,4.676242e-06
27125,4.642022e-06
27175,4.608092e-06
27225,4.574498e-06
27275,4.541216e-06
27325,4.508223e-06
27375,4.475559e-06
27425,4.443178e-06
27475,4.411056e-06
27525,4.379257e-06
27575,4.347746e-06
27625,4.3165e-06
27675,4.28554e-06
27725,4.254844e-06
27775,4.224421e-06
27825,4.194305e-06
27875,4.164415e-06
27925,4.134789e-06
27975,4.105458e-06
28025,4.076333e-06
28075,4.047484e-06
28125,4.018926e-06
28175,3.990578e-06
28225,3.962515e-06
28275,3.934699e-06
28325,3.907117e-06
28375,3.879843e-06
28425,3.852752e-06
28475,3.825892e-06
28525,3.799282e-06
28575,3.772852e-06
28625,3.746695e-06
28675,3.720744e-06
28725,3.69503e-06
28775,3.669591e-06
28825,3.644317e-06
28875,3.61928e-06
28925,3.594428e-06
28975,3.569779e-06
29025,3.545372e-06
29075,3.521114e-06
29125,3.497111e-06
29175,3.473286e-06
29225,3.44968e-06
29275,3.426299e-06
29325,3.403067e-06
29375,3.380103e-06
29425,3.357282e-06
29475,3.334684e-06
29525,3.312267e-06
29575,3.290015e-06
29625,3.267969e-06
29675,3.246047e-06
29725,3.224381e-06
29775,3.202843e-06
29825,3.181517e-06
29875,3.160361e-06
29925,3.139384e-06
29975,3.118607e-06
30025,3.097951e-06
30075,3.07752e-06
30125,3.057196e-06
30175,3.037093e-06
30225,3.017102e-06
30275,2.997309e-06
30325,2.977652e-06
30375,2.958158e-06
30425,2.938846e-06
30475,2.919669e-06
30525,2.900686e-06
30575,2.881805e-06
30625,2.863149e-06
30675,2.844583e-06
30725,2.82621e-06
30775,2.807921e-06
30825,2.789834e-06
30875,2.771841e-06
30925,2.754054e-06
30975,2.736364e-06
31025,2.718851e-06
31075,2.701453e-06
31125,2.684227e-06
31175,2.66712e-06
31225,2.650157e-06
31275,2.633322e-06
31325,2.616614e-06
31375,2.600045e-06
31425,2.583593e-06
31475,2.567282e-06
31525,2.55108e-06
31575,2.535033e-06
31625,2.519099e-06
31675,2.503295e-06
31725,2.487586e-06
31775,2.472026e-06
31825,2.456579e-06
31875,2.441273e-06
31925,2.426083e-06
31975,2.411017e-06
32025,2.396064e-06
32075,2.381222e-06
32125,2.3665e-06
32175,2.351875e-06
32225,2.337382e-06
32275,2.32297e-06
32325,2.308701e-06
32375,2.294498e-06
32425,2.280449e-06
32475,2.266458e-06
32525,2.252641e-06
32575,2.238869e-06
32625,2.225262e-06
32675,2.211697e-06
32725,2.198303e-06
32775,2.184958e-06
32825,2.17176e-06
32875,2.158621e-06
32925,2.145596e-06
32975,2.132648e-06
33025,2.119797e-06
33075,2.10707e-06
33125,2.094402e-06
33175,2.081875e-06
33225,2.06939e-06
33275,2.057081e-06
33325,2.044807e-06
33375,2.032677e-06
33425,2.020591e-06
33475,2.008613e-06
33525,1.996707e-06
33575,1.984872e-06
33625,1.973159e-06
33675,1.961482e-06
33725,1.949945e-06
33775,1.938435e-06
33825,1.927071e-06
33875,1.915754e-06
33925,1.904535e-06
33975,1.893403e-06
34025,1.882319e-06
34075,1.871365e-06
34125,1.860432e-06
34175,1.849634e-06
34225,1.838867e-06
34275,1.828201e-06
34325,1.817612e-06
34375,1.807072e-06
34425,1.796667e-06
34475,1.786279e-06
34525,1.776018e-06
34575,1.765794e-06
34625,1.755648e-06
34675,1.745595e-06
34725,1.73557e-06
34775,1.725683e-06
34825,1.715815e-06
34875,1.706058e-06
34925,1.696367e-06
34975,1.686714e-06
35025,1.677169e-06
35075,1.667636e-06
35125,1.658214e-06
35175,1.648838e-06
35225,1.63951e-06
35275,1.63029e-06
35325,1.621082e-06
35375,1.611993e-06
35425,1.602947e-06
35475,1.593949e-06
35525,1.585055e-06
35575,1.576171e-06
35625,1.567391e-06
35675,1.558653e-06
35725,1.549953e-06
35775,1.541361e-06
35825,1.532777e-06
35875,1.524294e-06
35925,1.515868e-06
35975,1.507467e-06
36025,1.499174e-06
36075,1.490895e-06
36125,1.482685e-06
36175,1.474551e-06
36225,1.466426e-06
36275,1.458405e-06
36325,1.450413e-06
36375,1.442462e-06
36425,1.434616e-06
36475,1.426777e-06
36525,1.419022e-06
36575,1.411332e-06
36625,1.403653e-06
36675,1.396077e-06
36725,1.388525e-06
36775,1.381004e-06
36825,1.373571e-06
36875,1.366143e-06
36925,1.35878e-06
36975,1.351484e-06
37025,1.344193e-06
37075,1.336992e-06
37125,1.329828e-06
37175,1.322681e-06
37225,1.315639e-06
37275,1.308614e-06
37325,1.301625e-06
37375,1.294731e-06
37425,1.287842e-06
37475,1.281008e-06
37525,1.274244e-06
37575,1.267481e-06
37625,1.260792e-06
37675,1.254152e-06
37725,1.247516e-06
37775,1.240966e-06
37825,1.234446e-06
37875,1.227938e-06
37925,1.221526e-06
37975,1.215136e-06
38025,1.208762e-06
38075,1.202477e-06
38125,1.196204e-06
38175,1.189953e-06
38225,1.18378e-06
38275,1.177613e-06
38325,1.171481e-06
38375,1.165442e-06
38425,1.159409e-06
38475,1.153409e-06
38525,1.147485e-06
38575,1.141565e-06
38625,1.13568e-06
38675,1.129869e-06
38725,1.12406e-06
38775,1.118286e-06
38825,1.112582e-06
38875,1.106881e-06
38925,1.101214e-06
38975,1.095619e-06
39025,1.090026e-06
39075,1.084462e-06
39125,1.078971e-06
39175,1.073484e-06
39225,1.068022e-06
39275,1.062641e-06
39325,1.057266e-06
39375,1.051909e-06
39425,1.046627e-06
39475,1.041354e-06
39525,1.036092e-06
39575,1.030906e-06
39625,1.025733e-06
39675,1.020566e-06
39725,1.015473e-06
39775,1.0104e-06
39825,1.005329e-06
39875,1.000322e-06
39925,9.953466e-07
39975,9.903715e-07
40025,9.854444e-07
